Technical name,With custom trainer,Learning rate,Weight decay,Threshold,Accuracy,F1,Precision,Recall,Time
FacebookAI/roberta-base,False,1e-06,0.01,0.2916133403778076,0.9276985743380856,0.3931623931623931,0.4035087719298245,0.3833333333333333,23.61
FacebookAI/roberta-base,False,1e-06,0.05,0.3053801953792572,0.9012219959266804,0.3821656050955414,0.3092783505154639,0.5,23.63
FacebookAI/roberta-base,False,5e-06,0.01,0.5294661521911621,0.9470468431771896,0.5185185185185185,0.5833333333333334,0.4666666666666667,23.62
FacebookAI/roberta-base,False,5e-06,0.05,0.4432061612606048,0.9429735234215886,0.5087719298245614,0.5370370370370371,0.4833333333333333,23.62
FacebookAI/roberta-base,False,1e-05,0.01,0.2745523452758789,0.940936863543788,0.532258064516129,0.515625,0.55,23.96
FacebookAI/roberta-base,False,1e-05,0.05,0.2574285864830017,0.939918533604888,0.528,0.5076923076923077,0.55,110.36
FacebookAI/roberta-base,False,5e-05,0.01,0.6133142709732056,0.9541751527494908,0.5631067961165048,0.6744186046511628,0.4833333333333333,23.68
FacebookAI/roberta-base,False,5e-05,0.05,0.7758989930152893,0.9531568228105908,0.5660377358490566,0.6521739130434783,0.5,23.62
FacebookAI/roberta-base,True,1e-06,0.01,0.5308809280395508,0.9185336048879836,0.4285714285714285,0.375,0.5,23.62
FacebookAI/roberta-base,True,1e-06,0.05,0.5281051993370056,0.9236252545824848,0.4274809160305343,0.3943661971830985,0.4666666666666667,23.63
FacebookAI/roberta-base,True,5e-06,0.01,0.6372801661491394,0.9358452138492872,0.5039370078740157,0.4776119402985074,0.5333333333333333,23.7
FacebookAI/roberta-base,True,5e-06,0.05,0.7748154997825623,0.9419551934826884,0.5043478260869565,0.5272727272727272,0.4833333333333333,23.61
FacebookAI/roberta-base,True,1e-05,0.01,0.8331835865974426,0.945010183299389,0.5423728813559322,0.5517241379310345,0.5333333333333333,49.79
FacebookAI/roberta-base,True,1e-05,0.05,0.8315820693969727,0.9541751527494908,0.5631067961165048,0.6744186046511628,0.4833333333333333,40.57
FacebookAI/roberta-base,True,5e-05,0.01,0.8004620671272278,0.9460285132382892,0.5225225225225225,0.5686274509803921,0.4833333333333333,23.66
FacebookAI/roberta-base,True,5e-05,0.05,0.6737117767333984,0.940936863543788,0.546875,0.5147058823529411,0.5833333333333334,23.67
albert/albert-base-v2,False,1e-06,0.01,0.2806965410709381,0.8828920570264766,0.3195266272189349,0.2477064220183486,0.45,25.25
albert/albert-base-v2,False,1e-06,0.05,0.2806597948074341,0.8828920570264766,0.3195266272189349,0.2477064220183486,0.45,25.24
albert/albert-base-v2,False,5e-06,0.01,0.4763276278972626,0.9368635437881874,0.5,0.484375,0.5166666666666667,25.3
albert/albert-base-v2,False,5e-06,0.05,0.133219301700592,0.9429735234215886,0.5254237288135594,0.5344827586206896,0.5166666666666667,25.25
albert/albert-base-v2,False,1e-05,0.01,0.620369553565979,0.9419551934826884,0.5043478260869565,0.5272727272727272,0.4833333333333333,25.19
albert/albert-base-v2,False,1e-05,0.05,0.3339447379112243,0.9429735234215886,0.5,0.5384615384615384,0.4666666666666667,25.23
albert/albert-base-v2,False,5e-05,0.01,0.6709481477737427,0.9490835030549898,0.5283018867924528,0.6086956521739131,0.4666666666666667,25.25
albert/albert-base-v2,False,5e-05,0.05,0.3675427734851837,0.9521384928716904,0.5523809523809524,0.6444444444444445,0.4833333333333333,25.25
albert/albert-base-v2,True,1e-06,0.01,0.5700374841690063,0.9134419551934828,0.2735042735042735,0.2807017543859649,0.2666666666666666,25.26
albert/albert-base-v2,True,1e-06,0.05,0.5538709163665771,0.8981670061099797,0.2753623188405797,0.2435897435897435,0.3166666666666666,25.25
albert/albert-base-v2,True,5e-06,0.01,0.2681878507137298,0.9266802443991852,0.4626865671641791,0.4189189189189189,0.5166666666666667,25.27
albert/albert-base-v2,True,5e-06,0.05,0.3419694006443023,0.9175152749490836,0.4335664335664335,0.3734939759036144,0.5166666666666667,25.25
albert/albert-base-v2,True,1e-05,0.01,0.6055333018302917,0.9511201629327902,0.5294117647058824,0.6428571428571429,0.45,25.19
albert/albert-base-v2,True,1e-05,0.05,0.4917826354503631,0.9368635437881874,0.4833333333333333,0.4833333333333333,0.4833333333333333,25.24
albert/albert-base-v2,True,5e-05,0.01,0.3126164078712463,0.955193482688391,0.5510204081632653,0.7105263157894737,0.45,25.31
albert/albert-base-v2,True,5e-05,0.05,0.7331736087799072,0.939918533604888,0.512396694214876,0.5081967213114754,0.5166666666666667,68.24
answerdotai/ModernBERT-base,False,1e-06,0.01,0.549919605255127,0.9266802443991852,0.3333333333333333,0.375,0.3,42.51
answerdotai/ModernBERT-base,False,1e-06,0.05,0.5585165023803711,0.924643584521385,0.3272727272727272,0.36,0.3,42.26
answerdotai/ModernBERT-base,False,5e-06,0.01,0.5623385906219482,0.9348268839103868,0.4754098360655737,0.4677419354838709,0.4833333333333333,159.54
answerdotai/ModernBERT-base,False,5e-06,0.05,0.5723591446876526,0.9215885947046843,0.4296296296296296,0.3866666666666666,0.4833333333333333,42.2
answerdotai/ModernBERT-base,False,1e-05,0.01,0.6349930167198181,0.9348268839103868,0.4482758620689655,0.4642857142857143,0.4333333333333333,42.49
answerdotai/ModernBERT-base,False,1e-05,0.05,0.6507082581520081,0.940936863543788,0.4912280701754385,0.5185185185185185,0.4666666666666667,42.23
answerdotai/ModernBERT-base,False,5e-05,0.01,0.6091361045837402,0.9419551934826884,0.5289256198347108,0.5245901639344263,0.5333333333333333,99.29
answerdotai/ModernBERT-base,False,5e-05,0.05,0.9314343929290771,0.9511201629327902,0.5471698113207547,0.6304347826086957,0.4833333333333333,211.71
answerdotai/ModernBERT-base,True,1e-06,0.01,0.7859586477279663,0.890020366598778,0.3647058823529411,0.2818181818181818,0.5166666666666667,42.75
answerdotai/ModernBERT-base,True,1e-06,0.05,0.5237644910812378,0.8879837067209776,0.3604651162790697,0.2767857142857143,0.5166666666666667,42.35
answerdotai/ModernBERT-base,True,5e-06,0.01,0.6241543292999268,0.9368635437881874,0.5,0.484375,0.5166666666666667,285.16
answerdotai/ModernBERT-base,True,5e-06,0.05,0.659364640712738,0.9378818737270876,0.4695652173913043,0.4909090909090909,0.45,42.35
answerdotai/ModernBERT-base,True,1e-05,0.01,0.318143755197525,0.929735234215886,0.4390243902439024,0.4285714285714285,0.45,42.48
answerdotai/ModernBERT-base,True,1e-05,0.05,0.5515717267990112,0.919551934826884,0.4397163120567376,0.382716049382716,0.5166666666666667,42.55
answerdotai/ModernBERT-base,True,5e-05,0.01,0.5767465829849243,0.9185336048879836,0.4805194805194805,0.3936170212765957,0.6166666666666667,147.39
answerdotai/ModernBERT-base,True,5e-05,0.05,0.7773752212524414,0.9511201629327902,0.5555555555555556,0.625,0.5,226.1
distilbert/distilbert-base-uncased,False,1e-06,0.01,0.2947532832622528,0.8930753564154786,0.3478260869565217,0.2772277227722772,0.4666666666666667,11.76
distilbert/distilbert-base-uncased,False,1e-06,0.05,0.294634997844696,0.8930753564154786,0.3478260869565217,0.2772277227722772,0.4666666666666667,11.73
distilbert/distilbert-base-uncased,False,5e-06,0.01,0.4894308447837829,0.9460285132382892,0.5046728971962616,0.574468085106383,0.45,11.75
distilbert/distilbert-base-uncased,False,5e-06,0.05,0.491145372390747,0.9460285132382892,0.5046728971962616,0.574468085106383,0.45,11.76
distilbert/distilbert-base-uncased,False,1e-05,0.01,0.3570837080478668,0.945010183299389,0.5,0.5625,0.45,11.72
